"site","scale","area.Arable and horticulture","area.Broadleaf woodland","area.Coniferous woodland","area.Improved grassland"
"ST7600032936",500,0,0.236056614316813,0.312623525891965,0.451319859791222
"ST7594132635",500,0,0.21927145512608,0.543987750641228,0.236740794232692
"ST7558533053",500,0,0.285823432086421,0.519269682645807,0.194906885267773
"ST7563133004",500,0,0.279329563033934,0.511428581330859,0.209241855635207
"ST7599532629",500,0,0.209540341291468,0.532379879168496,0.258079779540036
"ST7611032751",500,0,0.207141118435952,0.375097743621951,0.416408450906815
"ST7516133894",500,0,0.0701289780033455,0.667008332825874,0.26286268917078
"ST7492533597",500,0,0.263520842681439,0.626135878789597,0.110343278528965
"ST7455135810",500,0.0587777956831697,0.115592593468345,0.692749834399925,0.13287977644856
"ST7460735809",500,0.0830788292074687,0.0977154021389199,0.720013960706738,0.0991918079468732
"ST7546033171",500,0,0.301995674431696,0.520279251967836,0.177725073600468
"ST7546733054",500,0,0.34631273896676,0.524233444039324,0.129453816993916
"ST7533433668",500,0,0.0941869019691354,0.609716636373528,0.296096461657336
"ST7546033412",500,0,0.20793455882785,0.497467360625212,0.294598080546938
"ST7532436239",500,0.128121072049338,0.0135941957671541,0.67718367638274,0.181101055800768
"ST7536336131",500,0.243572280527279,0.00895959813607957,0.658167384613005,0.0893007367236367
"ST7491135929",500,0.194066610358102,0.0270639345602032,0.676434404029336,0.102435051052359
"ST7496835930",500,0.232472870598679,0.0278869413898415,0.646064829648231,0.0935753583632488
"ST7533436050",500,0.312832415274553,0.00895959813607899,0.622116195084126,0.0560917915052418
"ST7527336046",500,0.285720622905159,0.00895959813607905,0.634029483296053,0.0712902956627091
"ST7576432634",500,0,0.251880547518402,0.556686653434275,0.191432799047323
"ST7504433474",500,0,0.284965635366849,0.676098056601134,0.0389363080320164
"ST7504433714",500,0,0.150267195023582,0.655356879112261,0.194375925864157
"ST7498433894",500,0,0.104451085325132,0.704145421240292,0.191403493434576
"ST7492433834",500,0,0.160507207474611,0.655135495591844,0.184357296933545
"ST7504436114",500,0.112861454561807,0.0094966128416721,0.647418128730116,0.230223803866405
"ST7516436114",500,0.164358411689308,0.00901310230268647,0.653058134261597,0.173570351746409
"ST7486436294",500,0,0.0100548089167887,0.533524303359023,0.456420887724188
"ST7492436294",500,0,0.0100548089167887,0.556105995202444,0.433839195880768
"ST7516433354",500,0,0.296684426256956,0.626142232772769,0.0771733409702752
"ST7498436294",500,0,0.0102770505743565,0.578739060839291,0.410983888586353
"ST7480436234",500,0,0.00664511374671626,0.580631033761416,0.412723852491868
"ST7534433354",500,0,0.246184105964513,0.558706996138262,0.195108897897225
"ST7486436234",500,0,0.010053028661511,0.599421502210192,0.390525469128297
"ST7522436234",500,0.0901843721972114,0.0175981365730932,0.667851416517271,0.224366074712424
"ST7492436174",500,0.0151289972494037,0.00653899370290266,0.65236167487912,0.325970334168574
"ST7528433474",500,0,0.189174383912886,0.617797904830481,0.193027711256633
"ST7534433474",500,0,0.181661949926886,0.585658337994373,0.232679712078741
"ST7546433474",500,0,0.175878773862916,0.500597975210931,0.323523250926153
"ST7540433534",500,0,0.138367079859921,0.559425945404661,0.302206974735418
"ST7522433594",500,0,0.137505601480244,0.648302151194947,0.214192247324809
"ST7516433774",500,0,0.0700369905780943,0.680849369563764,0.249113639858142
"ST7588432274",500,0,0.0826218641200396,0.454886136637871,0.46249199924209
"ST7522433714",500,0,0.0821050371298588,0.666437033264818,0.251457929605324
"ST7576432394",500,0,0.0862219317881306,0.505677254213458,0.408100813998412
"ST7636434494",500,0,0.185639493770815,0.358092186802214,0.387810416922903
"ST7636434434",500,0,0.195048036553924,0.328957229188373,0.38407256365652
"ST7642434434",500,0,0.240396542878004,0.294813510675342,0.388171500183382
"ST7642434374",500,0,0.252958227555816,0.263437448457649,0.384480701550426
"ST7570432454",500,0,0.107232802685709,0.515182632551769,0.377584564762522
"ST7648434374",500,0,0.301518428006948,0.232067580957903,0.38631809677386
"ST7648434314",500,0,0.302669286587508,0.209580601916995,0.387590362369772
"ST7564434734",500,0,0.0533017239951468,0.914017646041782,0.0326806299630711
"ST7612434674",500,0,0.07539195051938,0.604753393885054,0.28988199478385
"ST7618434674",500,0,0.084892216998079,0.556441500219936,0.328808997486612
"ST7618434614",500,0,0.0888152419669049,0.543013802384364,0.324041951776297
"ST7516434554",500,0,0.0694629676010939,0.896132075858199,0.0344049565407068
"ST7522434554",500,0,0.0482934238588587,0.929226350135027,0.0224802260061143
"ST7624434554",500,0,0.121340175688978,0.46754921816022,0.347741529283588
"ST7630434494",500,0,0.15347909235941,0.396702566444509,0.36992176914298
"ST7618432634",500,0,0.196372931958844,0.405099943006862,0.396961857160039
"ST7496634827",500,0.00790068853946433,0.197366259915918,0.778814136567179,0.0159189149774388
"ST7546434794",500,0,0.0402200862924982,0.956327966005183,0.00345194770231902
"ST7558434794",500,0,0.0641517553162647,0.927036500676008,0.00881174400772763
"ST7564432574",500,0,0.195877136951107,0.515552178896427,0.288570684152466
"ST7606434794",500,0,0.0819748078593391,0.651404683609884,0.236777470713146
"ST7576432574",500,0,0.226228550263525,0.553712886092251,0.220058563644224
"ST7498434734",500,0,0.157818571151746,0.841877432350193,0.000303996498061094
"ST7504434734",500,0,0.139601343490197,0.860398656509804,0
"ST7552434734",500,0,0.033874983532943,0.966125016467057,0
"ST7558434734",500,0,0.041875150854879,0.949274748441311,0.00885010070380982
"ST7534434914",500,0.00569129155259886,0.0627611997138262,0.888238304422037,0.0433092043115379
"ST7618432694",500,0,0.199011037173814,0.35755235065651,0.436613484940258
"ST7540434914",500,0.000793816786267074,0.0637705306828322,0.879764186696747,0.0556714658341541
"ST7600434914",500,0,0.101913645569634,0.657116552242132,0.212666524800235
"ST7492434854",500,0.0162242550161685,0.226888482109201,0.734648148763887,0.022239114110743
"ST7522434854",500,0.00185875903791838,0.0658069266618211,0.929507152009741,0.00282716229051944
"ST7540434854",500,0,0.0416153276687251,0.935419659955108,0.0229650123761671
"ST7552432694",500,0,0.273678562888884,0.477743503665712,0.248577933445404
"ST7546434854",500,0,0.0503788198024722,0.919555061117854,0.0300661190796741
"ST7606434854",500,0,0.0967790805201961,0.649079067788638,0.224298813873535
"ST7504434974",500,0.0759002297921217,0.192309845659269,0.711027235213643,0.0207626893349663
"ST7522434974",500,0.0561080847697912,0.0807809958562875,0.822505322541536,0.0406055968323851
"ST7528434974",500,0.0427624608174362,0.067877323420244,0.83502313859187,0.0543370771704499
"ST7588434974",500,0,0.0828060893010958,0.711631967378482,0.196090209076319
"ST7597532791",500,0,0.239992338697646,0.449834813591902,0.310172847710453
"ST7594432694",500,0,0.235593508333762,0.517727325275373,0.246679166390865
"ST7594434974",500,0,0.0950930384112662,0.666855683598585,0.221451346260671
"ST7489834968",500,0.063948180543698,0.26115754212973,0.650686354843547,0.0242079224830253
"ST7510434914",500,0.0401645678350432,0.153406865748645,0.794887045039488,0.0115415213768238
"ST7564432754",500,0,0.295382225023516,0.533596090708046,0.171021684268438
"ST7516434914",500,0.0328416205384279,0.109697351866765,0.842737355752638,0.0147236718421686
"ST7570432754",500,0,0.288827863304682,0.542421324488655,0.168750812206664
"ST7570435094",500,0.00275943350657244,0.0954016695796757,0.67803665004434,0.223802246869411
"ST7576435094",500,0,0.0874269749508277,0.65365395638947,0.258919068659702
"ST7581632758",500,0,0.261326301646301,0.538238926405936,0.200434771947763
"ST7582432754",500,0,0.259737482674,0.538058135827451,0.202204381498549
"ST7498435034",500,0.109579292654665,0.226958176756949,0.635993178970778,0.027469351617607
"ST7522435034",500,0.0979872118655524,0.0735634812899781,0.766060096279074,0.0623892105653953
"ST7576435034",500,0,0.0784115590390527,0.72320382646582,0.198384614495128
"ST7582435034",500,0,0.0781016793979836,0.697314767499719,0.224579132569707
"ST7588435034",500,0,0.0861425654851043,0.662713813533621,0.246347520580523
"ST7607132839",500,0,0.226829189464172,0.333114659843411,0.439336445309045
"ST7612432874",500,0,0.21475447268813,0.27139338095959,0.503285727923143
"ST7486435025",500,0.088667100909019,0.271568877465002,0.615556099142953,0.0242079224830256
"ST7426435814",500,0.00318547981348702,0.129050778662225,0.472695949466256,0.395067792058031
"ST7420435754",500,0.00137046318729417,0.129024585984155,0.408907291287509,0.460697659541043
"ST7426435754",500,0,0.140607637498829,0.470061333537837,0.389331028963334
"ST7576432814",500,0,0.268029632591907,0.530383972487166,0.201586394920927
"ST7426435694",500,0,0.152566909208307,0.458716342191019,0.388716748600674
"ST7420435574",500,0,0.163859318520385,0.363781027618232,0.472359653861382
"ST7420435514",500,0,0.167345693217105,0.360402344243384,0.47225196253951
"ST7546432934",500,0,0.366790293237704,0.494236677694932,0.138973029067363
"ST7558435094",500,0.029731711953407,0.108993419180713,0.678613731781796,0.182661137084084
"ST7564435094",500,0.0123694785574983,0.10583313795352,0.684031683108977,0.197765700380004
"ST7474435994",500,0.0597052385806405,0.0288136212154861,0.714065891691715,0.197415248512158
"ST7480435994",500,0.0862481102893382,0.0232982916397232,0.712907147347467,0.177546450723472
"ST7486435994",500,0.118045147776107,0.0223080568942611,0.695392618620907,0.164254176708725
"ST7570432874",500,0,0.279915326361333,0.515715502089557,0.204369171549109
"ST7492435994",500,0.151401793565991,0.0251351226245026,0.671740891324916,0.151722192484591
"ST7576432874",500,0,0.256709935786401,0.510790698690798,0.232499365522801
"ST7498435994",500,0.188413934775433,0.0254391104418473,0.646831648432572,0.139315306350148
"ST7582432874",500,0,0.241025533153505,0.494067367332289,0.264907099514207
"ST7504435994",500,0.225968652679428,0.0211291377958016,0.629267322341438,0.123634887183332
"ST7570433114",500,0,0.215573892865865,0.460432856740788,0.323993250393346
"ST7468435934",500,0.0659009194377705,0.0432502787054985,0.730161351431606,0.160687450425125
"ST7474435934",500,0.0911996483125804,0.0315898460876352,0.742051803189877,0.135158702409908
"ST7522436114",500,0.191152592553822,0.00895959813607903,0.663832806855135,0.136055002454964
"ST7480436054",500,0.0491625777246151,0.0204418294458102,0.691461561703141,0.238934031126434
"ST7486436054",500,0.0754722535573986,0.0188924011809092,0.683133188850243,0.22250215641145
"ST7492436054",500,0.103562096314008,0.0216991038689104,0.668101232443926,0.206637567373156
"ST7576533004",500,0,0.237277908883161,0.465338043112722,0.297384048004117
"ST7576432994",500,0,0.238892883759481,0.468897112373084,0.292210003867434
"ST7498436054",500,0.135631047101705,0.0206968788173676,0.652384640652744,0.191287433428183
"ST7504436054",500,0.16857303893476,0.015698505090919,0.641389963068483,0.174338492905838
"ST7516436054",500,0.224561626943286,0.00895959813607975,0.641831809755493,0.124646965165141
"ST7468435994",500,0.0411672413432315,0.0408835744119201,0.696372915436471,0.221576268808378
"ST7522433294",500,0,0.316572157503519,0.586401849601308,0.0970259928951723
