"plot","year","visit","richness","sre_rich","mre_rich","lre_rich","gridref","treatment","subcompartment","basal_area","dbh_average","dis_to_edge","tree_species","dis_broadleaf","stems_7.5cm_dbh","per_broadleaf_canopy","fallen_deadwood","deadwood_snags","canopy_openess","dom_understorey","dom_field_layer","bramble","bracken","forbs","grass","bare_ground","moss","brash_cover","leaf_litter","complexity_score","complexity_category","aspect","altitude"
1,2021,"1",6,2,3,1,"ST7498436114","RIS","805c","34",40.4,115.5223873,6,2,41,40,2,1,"13.78","none","Bramble","60-70%","1-10%","10-20%","20-30%","1-10%","20-30%","10-20%","40-50%",4,"Low",175.9230675,186.4301047
1,2021,"2",5,2,2,1,"ST7498436114","RIS","805c","34",40.4,115.5223873,6,2,41,40,2,1,"13.78","none","Bramble","60-70%","1-10%","10-20%","20-30%","1-10%","20-30%","10-20%","40-50%",4,"Low",175.9230675,186.4301047
101,2021,"1",7,2,3,2,"ST7540433534","SDS","204a","22",65.6,92.81870285,8,5,11,40,2,5,"16.9","Douglas Fir","Bramble","60-70%","20-30%","10-20%","0","0","30-40%","40-50%","60-70%",8,"High",153.1464306,175.4864236
101,2021,"2",9,3,4,2,"ST7540433534","SDS","204a","22",65.6,92.81870285,8,5,11,40,2,5,"16.9","Douglas Fir","Bramble","60-70%","20-30%","10-20%","0","0","30-40%","40-50%","60-70%",8,"High",153.1464306,175.4864236
104,2021,"1",6,1,4,1,"ST7528433474","SDS","204a","22",61.6,47.19677642,4,15,13,10,14,0,"15.08","Western Hemlock","Bracken","10-20%","60-70%","1-10%","1-10%","1-10%","20-30%","40-50%","50-60%",8,"High",135.3393709,188.6915046
104,2021,"2",7,1,4,2,"ST7528433474","SDS","204a","22",61.6,47.19677642,4,15,13,10,14,0,"15.08","Western Hemlock","Bracken","10-20%","60-70%","1-10%","1-10%","1-10%","20-30%","40-50%","50-60%",8,"High",135.3393709,188.6915046
108,2021,"1",7,2,3,2,"ST7534433354","SDS","204a","26",55.4,25.2212152,9,1,40,75,5,4,"3.12","Grey Alder","Bracken","10-20%","60-70%","30-40%","30-40%","1-10%","70-80%","1-10%","10-20%",6,"High",127.3774355,184.1462995
108,2021,"2",7,2,3,2,"ST7534433354","SDS","204a","26",55.4,25.2212152,9,1,40,75,5,4,"3.12","Grey Alder","Bracken","10-20%","60-70%","30-40%","30-40%","1-10%","70-80%","1-10%","10-20%",6,"High",127.3774355,184.1462995
109,2021,"1",4,2,1,1,"ST7480436234","RIS","804","48",36.4,54.06848594,4,35,48,0,1,0,"8.32","none","Bramble","30-40%","0","10-20%","30-40%","0","40-50%","30-40%","60-70%",3,"Low",185.1314247,163.7676452
109,2021,"2",5,2,2,1,"ST7480436234","RIS","804","48",36.4,54.06848594,4,35,48,0,1,0,"8.32","none","Bramble","30-40%","0","10-20%","30-40%","0","40-50%","30-40%","60-70%",3,"Low",185.1314247,163.7676452
110,2021,"1",5,2,2,1,"ST7498436294","RIS","804","28",34.2,53.76637763,4,30,30,0,3,0,"15.86","none","Grasses","40-50%","1-10%","1-10%","40-50%","1-10%","50-60%","30-40%","30-40%",3,"Low",185.23966,159.2543901
110,2021,"2",8,3,4,1,"ST7498436294","RIS","804","28",34.2,53.76637763,4,30,30,0,3,0,"15.86","none","Grasses","40-50%","1-10%","1-10%","40-50%","1-10%","50-60%","30-40%","30-40%",3,"Low",185.23966,159.2543901
117,2021,"1",10,4,4,2,"ST7498433894","SDS","204a","26",73.6,81.17877593,5,40,17,0,8,1,"10.66","Douglas Fir","Bracken","10-20%","40-50%","30-40%","20-30%","1-10%","20-30%","20-30%","50-60%",9,"High",157.211659,200.5344006
117,2021,"2",6,1,4,1,"ST7498433894","SDS","204a","26",73.6,81.17877593,5,40,17,0,8,1,"10.66","Douglas Fir","Bracken","10-20%","40-50%","30-40%","20-30%","1-10%","20-30%","20-30%","50-60%",9,"High",157.211659,200.5344006
118,2021,"1",8,3,3,2,"ST7504433714","SDS","204e","26",72.6,98.89785676,8,4,9,10,1,0,"25.22","Western Hemlock","Mosses","10-20%","1-10%","30-40%","30-40%","1-10%","70-80%","10-20%","20-30%",6,"High",157.6936929,199.5650239
118,2021,"2",8,2,4,2,"ST7504433714","SDS","204e","26",72.6,98.89785676,8,4,9,10,1,0,"25.22","Western Hemlock","Mosses","10-20%","1-10%","30-40%","30-40%","1-10%","70-80%","10-20%","20-30%",6,"High",157.6936929,199.5650239
15,2021,"1",7,3,4,0,"ST7480436054","RIS","805d","28",41,58.59492785,2,15,28,5,3,1,"14.56","none","Pendulous Sedge","10-20%","1-10%","30-40%","30-40%","1-10%","30-40%","50-60%","60-70%",3,"Low",165.6339086,173.2774437
15,2021,"2",6,2,4,0,"ST7480436054","RIS","805d","28",41,58.59492785,2,15,28,5,3,1,"14.56","none","Pendulous Sedge","10-20%","1-10%","30-40%","30-40%","1-10%","30-40%","50-60%","60-70%",3,"Low",165.6339086,173.2774437
18,2021,"1",4,0,3,1,"ST7468435934","RIS","805d","30",34.6,85.12962155,4,80,27,0,0,0,"11.18","none","Bramble","50-60%","50-60%","30-40%","10-20%","0","40-50%","10-20%","40-50%",3,"Low",190.1951466,190.6104663
18,2021,"2",6,0,4,2,"ST7468435934","RIS","805d","30",34.6,85.12962155,4,80,27,0,0,0,"11.18","none","Bramble","50-60%","50-60%","30-40%","10-20%","0","40-50%","10-20%","40-50%",3,"Low",190.1951466,190.6104663
19,2021,"1",7,1,3,3,"ST7570433114","SDS","302a","24",52.4,101.2034299,6,30,6,0,2,1,"42.9","Western Hemlock","Bramble","50-60%","1-10%","10-20%","1-10%","10-20%","1-10%","30-40%","30-40%",3,"Low",140.8375371,183.4614889
19,2021,"2",5,0,4,1,"ST7570433114","SDS","302a","24",52.4,101.2034299,6,30,6,0,2,1,"42.9","Western Hemlock","Bramble","50-60%","1-10%","10-20%","1-10%","10-20%","1-10%","30-40%","30-40%",3,"Low",140.8375371,183.4614889
25,2021,"1",2,0,1,1,"ST7570432874","SDS","302a","26",62,183.1332405,4,6,22,70,0,5,"35.88","Common Alder","Bracken","0","70-80%","30-40%","20-30%","0","70-80%","1-10%","30-40%",4,"Low",128.8032144,178.0242654
