plot,grid_ref,filename,species,probability,actual_date,session_date,day,month,year,time,scientific_name,english_name,group,guild,warnings,classifier_code,manual_check
32,ST7420735521,ST7420735521__0__20210819_033438_Barbar.wav,Barbar,0.99,19/08/2021,18/08/2021,18,8,2021,03:34:38,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
15,ST7480736061,ST7480736061__0__20210814_001427_Barbar.wav,Barbar,0.99,14/08/2021,14/08/2021,14,8,2021,00:14:27,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
117,ST7498733901,ST7498733901__0__20210810_224637_Myotis.wav,Barbar,0.5,10/08/2021,10/08/2021,10,8,2021,22:46:37,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Myotis
1,ST7498736121,ST7498736121__0__20210823_222513_Nyctalus.wav,Barbar,0.93,23/08/2021,23/08/2021,23,8,2021,22:25:13,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Nyctalus
1,ST7498736121,ST7498736121__0__20210823_232204_Myotis.wav,Barbar,0.5,23/08/2021,23/08/2021,23,8,2021,23:22:04,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Myotis
118,ST7504733721,ST7504733721__0__20210812_002330_Barbar.wav,Barbar,0.99,12/08/2021,12/08/2021,12,8,2021,00:23:30,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
118,ST7504733721,ST7504733721__0__20210819_202750_Nycnoc.wav,Barbar,0.93,19/08/2021,19/08/2021,19,8,2021,20:27:50,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Nycnoc
97,ST7522733721,ST7522733721__0__20210812_205012_Barbar.wav,Barbar,0.99,12/08/2021,12/08/2021,12,8,2021,20:50:12,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
97,ST7522733721,ST7522733721__0__20210812_212156_Barbar.wav,Barbar,0.99,12/08/2021,12/08/2021,12,8,2021,21:21:56,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
97,ST7522733721,ST7522733721__0__20210812_212656_Barbar.wav,Barbar,0.99,12/08/2021,12/08/2021,12,8,2021,21:26:56,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
97,ST7522733721,ST7522733721__0__20210813_034151_Barbar.wav,Barbar,0.99,13/08/2021,12/08/2021,12,8,2021,03:41:51,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
97,ST7522733721,ST7522733721__0__20210813_034532_Barbar.wav,Barbar,0.99,13/08/2021,12/08/2021,12,8,2021,03:45:32,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
97,ST7522733721,ST7522733721__0__20210813_041336_Barbar.wav,Barbar,0.99,13/08/2021,12/08/2021,12,8,2021,04:13:36,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
